event_id,road,event_date,title,description,record_type,original_url,archive_timestamp,wayback_url,date_source
HE-003,A8,2023-03-08,A8 – Grundhafte Erneuerung zwischen Neunkirchen-Oberstadt und Autobahnkreuz Neunkirchen beginnt,Der Bund investiert 136 Millionen Euro in zukunftsfähige Infrastruktur,historical_construction_event,https://www.autobahn.de/west/aktuelles/detail/a8-grundhafte-erneuerung-zwischen-neunkirchen-oberstadt-und-autobahnkreuz-neunkirchen-beginnt,20230607021721,https://web.archive.org/web/20230607021721/https://www.autobahn.de/west/aktuelles/detail/a8-grundhafte-erneuerung-zwischen-neunkirchen-oberstadt-und-autobahnkreuz-neunkirchen-beginnt,page_datePublished
HE-004,A8,2023-03-16,A8 – Erneuerung zwischen Dillingen-Mitte und Autobahndreieck Saarlouis – Vollsperrung aufgehoben,Die Vollsperrung der A8 zwischen Dillingen Mitte und Autobahndreieck Saarlouis ist aufgehoben. Der Verkehr läuft einstreifig am noch bestehenden Baufeld vorbei.,historical_construction_event,https://www.autobahn.de/west/verkehrsmeldungen/detail/a8-erneuerung-zwischen-dillingen-mitte-und-autobahndreieck-saarlouis-vollsperrung-aufgehoben,20230607012328,https://web.archive.org/web/20230607012328/https://www.autobahn.de/west/verkehrsmeldungen/detail/a8-erneuerung-zwischen-dillingen-mitte-und-autobahndreieck-saarlouis-vollsperrung-aufgehoben,page_datePublished
HE-005,A8,2023-03-17,A8 – Ersatzneubau der Landertalbrücke bei Neunkirchen-Oberstadt - Weiterer Umbau der Verkehrssicherung,Die Niederlassung West der Autobahn GmbH wird am kommenden Wochenende den Umbau der Verkehrssicherung und Aufbau einer transportablen Schutzwand im Umfeld der Landertalbrücke fortführen.,historical_construction_event,https://www.autobahn.de/west/verkehrsmeldungen/detail/a8-ersatzneubau-der-landertalbruecke-bei-neunkirchen-oberstadt-weiterer-umbau-der-verkehrssicherung,20230607013013,https://web.archive.org/web/20230607013013/https://www.autobahn.de/west/verkehrsmeldungen/detail/a8-ersatzneubau-der-landertalbruecke-bei-neunkirchen-oberstadt-weiterer-umbau-der-verkehrssicherung,page_datePublished
HE-006,A8,2023-03-21,A8 – Sanierung der Anschlussstelle Dillingen-Süd,"In der Zeit von Dienstag, 11. April, bis voraussichtlich Freitag, 28. April 2023, wird die Niederlassung West der Autobahn GmbH die A8 – Anschlussstelle (AS) Dillingen-Süd (10) umfassend sanieren.",historical_construction_event,https://www.autobahn.de/west/verkehrsmeldungen/detail/a8-sanierung-der-anschlussstelle-dillingen-sued,20230607023915,https://web.archive.org/web/20230607023915/https://www.autobahn.de/west/verkehrsmeldungen/detail/a8-sanierung-der-anschlussstelle-dillingen-sued,page_datePublished
HE-007,A8,2023-03-28,A8 Mangfallbrücke,,historical_construction_event,https://www.autobahn.de/suedbayern/verkehrsmeldungen/detail/a8-mangfallbruecke,20230328043857,https://web.archive.org/web/20230328043857/https://www.autobahn.de/suedbayern/verkehrsmeldungen/detail/a8-mangfallbruecke,archive_capture
HE-008,A93,2023-03-28,A93 Beginn des Ersatzneubaus der Eichelbachbrücke,,historical_construction_event,https://www.autobahn.de/nordbayern/verkehrsmeldungen/detail/a93-beginn-des-ersatzneubaus-der-eichelbachbruecke,20230328101532,https://web.archive.org/web/20230328101532/https://www.autobahn.de/nordbayern/verkehrsmeldungen/detail/a93-beginn-des-ersatzneubaus-der-eichelbachbruecke,archive_capture
HE-001,A8,2023-05-05,"A8 / AS Kirchheim-Ost bis AS Aichelberg, Fahrtrichtung München: Neuer Asphalt auf der Autobahn und Ausbau der AS Aichelberg",▪ Baumaßnahmen an der A8 Fahrtrichtung München von Mai bis Juli ▪ Fahrbahnerneuerung zwischen der AS Kirchheim-Ost und der AS Aichelberg ▪ Ausbau der AS Aichelberg: neue Links-/Rechtsabbiegerstreifen an der L1214,historical_construction_event,https://www.autobahn.de/die-autobahn/verkehrsmeldungen/detail/a8-/-as-kirchheim-ost-bis-as-aichelberg-fahrtrichtung-muenchen-neuer-asphalt-auf-der-autobahn-und-ausbau-der-as-aichelberg,20230528191907,https://web.archive.org/web/20230528191907/https://www.autobahn.de/die-autobahn/verkehrsmeldungen/detail/a8-/-as-kirchheim-ost-bis-as-aichelberg-fahrtrichtung-muenchen-neuer-asphalt-auf-der-autobahn-und-ausbau-der-as-aichelberg,page_datePublished
HE-009,A93,2023-05-05,"A93, Baubeginn für die Fahrbahnerneuerung und Brückeninstandsetzung zwischen den Anschlussstellen Weiden-Nord und Weiden-Süd",Die Außenstelle Bayreuth der Autobahn GmbH lässt die Fahrbahn zwischen den Anschlussstellen Weiden-Nord und Weiden-Süd in beiden Fahrtrichtungen erneuern. Parallel werden die in diesem Abschnitt liegenden Brückenbauwerke instandgesetzt und die Fahrzeugrückhaltesysteme dem aktuellen Stand der Technik angepasst. Die Baumaßnahme soll im Dezember abgeschlossen werden. Die Kosten belaufen sich auf rund 15 Millionen Euro.,historical_construction_event,https://www.autobahn.de/nordbayern/verkehrsmeldungen/detail/a93-baubeginn-fuer-die-fahrbahnerneuerung-und-brueckeninstandsetzung-zwischen-den-anschlussstellen-weiden-nord-und-weiden-sued,20230508134337,https://web.archive.org/web/20230508134337/https://www.autobahn.de/nordbayern/verkehrsmeldungen/detail/a93-baubeginn-fuer-die-fahrbahnerneuerung-und-brueckeninstandsetzung-zwischen-den-anschlussstellen-weiden-nord-und-weiden-sued,page_datePublished
HE-002,A8,2023-05-17,A8 - Ersatzneubau der Brücke über die B466 bei Mühlhausen im Täle Verkehrsfreigabe und „Nachmittag der offenen Brücke“,Die A8-Brücke in Fahrtrichtung Ulm über die B466 bei Mühlhausen im Täle wurde termingerecht fertiggestellt und wird am 27. Mai 2023 dem Autobahnverkehr übergeben. Heute fand die feierliche Verkehrsfreigabe und anschließend ein „Nachmittag der offenen Brücke“ für die Bevölkerung statt.,historical_construction_event,https://www.autobahn.de/die-autobahn/aktuelles/detail/a8-ersatzneubau-der-bruecke-ueber-die-b466-bei-muehlhausen-im-taele-verkehrsfreigabe-und-nachmittag-der-offenen-bruecke,20230519150306,https://web.archive.org/web/20230519150306/https://www.autobahn.de/die-autobahn/aktuelles/detail/a8-ersatzneubau-der-bruecke-ueber-die-b466-bei-muehlhausen-im-taele-verkehrsfreigabe-und-nachmittag-der-offenen-bruecke,page_datePublished
HE-010,A93,2023-06-09,"A93, Deckenerneuerung zwischen den Anschlussstellen Schwarzenfeld und Schwandorf-Süd in Fahrtrichtung Weiden","Im Rahmen der Erneuerung der Fahrbahndecke auf der A93 zwischen den Anschlussstellen Schwarzenfeld und Schwandorf-Süd in Fahrtrichtung Weiden ist die Errichtung einer Baustellenverkehrsführung von Montag, den 26. Juni 2023, bis voraussichtlich Freitag, den 22. September 2023, erforderlich.",historical_construction_event,https://www.autobahn.de/nordbayern/verkehrsmeldungen/detail/a93-deckenerneuerung-zwischen-den-anschlussstellen-schwarzenfeld-und-schwandorf-sued-in-fahrtrichtung-weiden,20230613144918,https://web.archive.org/web/20230613144918/https://www.autobahn.de/nordbayern/verkehrsmeldungen/detail/a93-deckenerneuerung-zwischen-den-anschlussstellen-schwarzenfeld-und-schwandorf-sued-in-fahrtrichtung-weiden,page_datePublished
