project_id,road,title,record_type,latest_status,first_overview_observation,last_overview_observation,archive_first_capture,observation_count,status_history,project_url,description,latest_source_url,evidence_level
a8-achenmuehle-bernauer-berg,A8,A8 Achenmühle – Bernauer Berg,planning,Planfeststellungsverfahren,,,2023-02-07,1,2023-02-07:Planfeststellungsverfahren,https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-achenmuehle-bernauer-berg,,https://web.archive.org/web/20230207090654/https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-achenmuehle-bernauer-berg,legacy_planning_page
a8-as-dachau,A8,A8 Anschlussstelle Dachau,planning,Planfeststellungsverfahren,,,2023-02-07,1,2023-02-07:Planfeststellungsverfahren,https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-as-dachau,,https://web.archive.org/web/20230207072328/https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-as-dachau,legacy_planning_page
a8-erneureung-der-autobahnbruecke-ueber-die-rohrdorfer-ache,A8,A8 Erneuerung der Autobahnbrücke über die Rohrdorfer Ache,project_overview,In Umsetzung,2026-06-20,2026-06-20,,1,2026-06-20:In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/a8-erneureung-der-autobahnbruecke-ueber-die-rohrdorfer-ache,Ersatzteilneubau der Brücke an der Bundesautobahn A8 Ost zwischen den Anschlussstellen Rosenheim und Rohrdorf über die Rohrdorfer Ache,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58&tx_kesearch_pi1%5Bpage%5D=2,project_overview_observed
a8-erneuerung-der-autobahnbruecke-ueber-die-saalach,A8,A8 Erneuerung der Autobahnbrücke über die Saalach,project_overview,In Planung,2026-06-20,2026-06-20,2025-12-19,1,2026-06-20:In Planung,https://www.autobahn.de/planen-bauen/projekt/a8-erneuerung-der-autobahnbruecke-ueber-die-saalach,Ersatzneubau der Saalach-Brücke an der Bundesautobahn A8 bei Piding,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
a8-erneuerung-der-autobahnbruecke-ueber-die-weisse-traun,A8,A8 Erneuerung der Autobahnbrücke über die Weiße Traun,project_overview,In Planung,2026-06-20,2026-06-20,2026-01-21,1,2026-06-20:In Planung,https://www.autobahn.de/planen-bauen/projekt/a8-erneuerung-der-autobahnbruecke-ueber-die-weisse-traun,Ersatzneubau der Brücke über die Weiße Traun an der Bundesautobahn München - Salzburg A8 bei Siegsdorf,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
pwc-anlage-otterfing,A8,A8 PWC-Anlage Otterfing,project_overview,In Planung,2024-12-02,2026-06-20,,4,2024-12-02:In Planung|2025-03-27:In Planung|2025-09-17:In Planung|2026-06-20:In Planung,https://www.autobahn.de/planen-bauen/projekt/pwc-anlage-otterfing,Neubau der nicht bewirtschafteten Rastanlage mit WC (PWC-Anlage) Otterfing mit 106 Lkw-Stellplätze und eines ca. 360 m langen Parkstreifens für Schwertransportfahrzeuge. Zum Schutz der übernachtenden Lkw-Fahrer wird zwischen der Autobahn und der PWC-Anlage ein Lärm- und Sichtschutzwall errichtet.,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
a8-ulm-elchingen,A8,A8 Sechsstreifige Erweiterung AS Ulm-West bis AK Ulm/Elchingen,project_overview,In Umsetzung,2024-12-02,2026-06-20,2024-12-02,4,2026-06-20:In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/a8-ulm-elchingen,"Zwischen der Anschlussstelle (AS) Ulm-West und dem Autobahnkreuz (AK) Ulm/Elchingen befindet sich einer der letzten noch 4-streifigen Abschnitte der A8 zwischen Stuttgart und München. Eine Erweiterung auf 6 Fahrstreifen ist aus mehreren Gründen notwendig: Aufgrund des hohen Verkehrsaufkommens, das in den nächsten Jahren noch zunehmen wird, ist die Belastungsgrenze bereits heute erreicht. Die Fahrbahn entspricht teilweise dem Originalzustand von 1938 und ist auch in ihrem Höhenverlauf nicht mehr zeitgemäß. Die Entwässerung und der Lärmschutz müssen den heutigen Standards angepasst werden. Die 6-streifige Erweiterung ist Bestandteil des Bundesverkehrswegeplans und erfolgt in den Bundesländern Bayern und Baden-Württemberg in Zusammenarbeit der Niederlassungen Südbayern und Südwest in drei Bauabschnitten.",https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58&tx_kesearch_pi1%5Bpage%5D=2,project_overview_observed
streckenbeeinflussungsanlage-ad-muenchen-eschenried-as-neusaess,A8,A8 Streckenbeeinflussungsanlage AD München-Eschenried - AS Neusäß,project_overview,In Planung,2024-12-02,2026-06-20,,4,2024-12-02:In Planung|2025-03-27:In Planung|2025-09-17:In Planung|2026-06-20:In Planung,https://www.autobahn.de/planen-bauen/projekt/streckenbeeinflussungsanlage-ad-muenchen-eschenried-as-neusaess,Im Bereich zwischen dem Autobahndreieck München-Eschenried und der Anschlussstelle Neusäß wird eine Streckenbeeinflussungsanlage (SBA) in beiden Fahrtrichtungen errichtet.,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
a8-albaufstieg,A8,Ausbau Albaufstieg,project_overview,In Umsetzung,2024-12-02,2026-06-20,2024-12-18,4,2024-12-02:In Planung|2025-03-27:In Planung|2025-09-17:In Planung|2026-06-20:In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/a8-albaufstieg,Mit dem neuen Albaufstieg wird die letzte Lücke im sechsstreifigen Ausbau der A8 von Karlsruhe nach München geschlossen. Nach einer Analyse von 2022 liegt die Verkehrsbelastung bei knapp 70.000 Fahrzeugen pro Tag. Mit dem Ausbau wird eine Rückverlagerung vom nachgeordneten Straßennetz auf die Autobahn prognostiziert. Die umliegenden Bundes- und Landesstraßen sowie Ortsdurchfahrten werden also deutlich entlastet. Der Planfeststellungsbeschluss für den Ausbau wurde am 18. Dezember 2024 durch die Planfeststellungsbehörde im Regierungspräsidium Stuttgart erteilt. Damit beginnt die Bauvorbereitungsphase für den Ausbau des Albaufstiegs.,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
brueckeninstandsetzung-an-der-anschlussstelle-muehlhausen,A8,Brückeninstandsetzung an der Anschlussstelle Mühlhausen,project_overview,In Umsetzung,2024-12-02,2026-06-20,,4,2024-12-02:In Umsetzung|2025-03-27:In Umsetzung|2025-09-17:In Umsetzung|2026-06-20:In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/brueckeninstandsetzung-an-der-anschlussstelle-muehlhausen,Die Autobahn GmbH Niederlassung Südwest setzt von April bis voraussichtlich Anfang Dezember 2024 die 1939 erbaute A8-Brücke an der Anschlussstelle Mühlhausen in Fahrtrichtung München instand.,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
drackensteiner-hang-bauen-rund-um-die-uhr-mit-modernsten-verfahren-vier-kilometer-fahrbahndeckenerneuerung-an-nur-einem-wochenende,A8,Drackensteiner Hang: Bauen rund um die Uhr mit modernsten Verfahren - Vier Kilometer Fahrbahndeckenerneuerung an nur einem Wochenende,project_overview,Abgeschlossen,2024-12-02,2026-06-20,,4,2024-12-02:Abgeschlossen|2025-03-27:Abgeschlossen|2025-09-17:Abgeschlossen|2026-06-20:Abgeschlossen,https://www.autobahn.de/planen-bauen/projekt/drackensteiner-hang-bauen-rund-um-die-uhr-mit-modernsten-verfahren-vier-kilometer-fahrbahndeckenerneuerung-an-nur-einem-wochenende,"Auf der A8 zwischen Merklingen und Mühlhausen hat der Autobahnbelag viel auszuhalten: Zehntausende Kraftfahrzeuge fahren täglich die Strecke am sogenannten Drackensteiner Hang in Richtung Stuttgart. Regelmäßige Erhaltungsmaßnahmen sind daher unausweichlich: So mussten vor der Wintersaison 2022/2023 zur Aufrechterhaltung der Verkehrssicherheit Fahrbahnschäden auf ca. vier Kilometern, bzw. 32.000 Quadratmetern, beseitigt werden. Um schnell und effektiv zu arbeiten, kamen modernste Verfahren zum Einsatz.",https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
a8-enztalquerung,A8,Enztalquerung,project_overview,In Umsetzung,2024-12-02,2026-06-20,2024-07-12,4,2024-12-02:In Umsetzung|2025-03-27:In Umsetzung|2025-09-17:In Umsetzung|2026-06-20:In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/a8-enztalquerung,"Am 1. Januar 2021 übernahm die Autobahn GmbH des Bundes, Niederlassung Südwest, die Verantwortung für dieses anspruchsvollen Großprojekt vom Land. Die Enztalquerung bildet einen der letzten beiden Abschnitte des sechsstreifigen Ausbaus der A8 in Baden-Württemberg. Im Oktober 2021 begannen die entscheidenden Straßen- und Erdbauarbeiten (Hauptlos), die seither kontinuierlich voranschreiten.",https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
erneuerung-der-fahrbahn-zwischen-der-anschlussstelle-pforzheim-west-und-dem-dreieck-karlsruhe,A8,Erneuerung der Fahrbahn zwischen der Anschlussstelle Pforzheim-West und dem Dreieck Karlsruhe,project_overview,Abgeschlossen,2024-12-02,2026-06-20,,4,2024-12-02:Abgeschlossen|2025-03-27:Abgeschlossen|2025-09-17:Abgeschlossen|2026-06-20:Abgeschlossen,https://www.autobahn.de/planen-bauen/projekt/erneuerung-der-fahrbahn-zwischen-der-anschlussstelle-pforzheim-west-und-dem-dreieck-karlsruhe,"Die Autobahn GmbH Niederlassung Südwest erneuert ab Montag, dem 29. Juli, bis voraussichtlich Ende September 2024 die Fahrbahndecke der A8 zwischen Pforzheim-West und dem Autobahndreieck Karlsruhe in Richtung Karlsruhe auf einer Strecke von etwa 3,5 Kilometern",https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
fahrbahndeckenerneuerung-zwischen-wendlingen-und-denkendorf-in-fahrtrichtung-muenchen,A8,Fahrbahndeckenerneuerung zwischen Wendlingen und Denkendorf in Fahrtrichtung München,project_overview,Abgeschlossen,2024-12-02,2026-06-20,,4,2024-12-02:Abgeschlossen|2025-03-27:Abgeschlossen|2025-09-17:Abgeschlossen|2026-06-20:Abgeschlossen,https://www.autobahn.de/planen-bauen/projekt/fahrbahndeckenerneuerung-zwischen-wendlingen-und-denkendorf-in-fahrtrichtung-muenchen,"Auf der A8 zwischen Wendlingen und Denkendorf in Fahrtrichtung München müssen die Betonplatten aus dem Jahre 1980 weichen. Auf ca. 3,1 Kilometern wird hier die Fahrbahn in Asphaltbauweise neu aufgebaut. Die beiden ebenfalls 1980 erbauten Brücken in diesem Bereich – die Talbrücke Denkendorf und das Sulzbachtalviadukt – erhalten neben dem neuen Belag auch eine grundhafte Sanierung. Mit diesen ins Projekt eingeplanten Instandsetzungen werden Synergieeffekte genutzt und Kosten eingespart.",https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
grundhafter-ausbau-zwischen-der-anschlussstelle-neunkirchen-oberstadt-und-dem-autobahnkreuz-neunkirchen,A8,Grundhafte Erneuerung zwischen der Anschlussstelle Neunkirchen-Oberstadt und dem Autobahnkreuz Neunkirchen,project_overview,In Umsetzung,2024-12-02,2026-06-20,,4,2024-12-02:In Umsetzung|2025-03-27:In Umsetzung|2025-09-17:In Umsetzung|2026-06-20:In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/grundhafter-ausbau-zwischen-der-anschlussstelle-neunkirchen-oberstadt-und-dem-autobahnkreuz-neunkirchen,"Eine umfangreiche, mehrjährige Erhaltungsmaßnahme, bei der die Fahrbahn, begleitende Entwässerungseinrichtungen, bestehende Bauwerke und Lärmschutzwände größtenteils erneuert werden und beide Richtungsfahrbahnen mit je zwei Fahrstreifen und durchgängigen Standstreifen ausgebaut werden.",https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
innovative-asphalterneuerung-rund-um-das-echterdinger-ei,A8,Innovative Asphalterneuerung rund um das Echterdinger Ei,project_overview,Abgeschlossen,2025-03-27,2026-06-20,,3,2025-03-27:In Umsetzung|2025-09-17:In Umsetzung|2026-06-20:Abgeschlossen,https://www.autobahn.de/planen-bauen/projekt/innovative-asphalterneuerung-rund-um-das-echterdinger-ei,"Echterdinger Ei wird die A8 Anschlussstelle (AS) Stuttgart-Degerloch am südlichen Stadtrand von Stuttgart genannt. Die AS bildet die Schnittstelle zwischen der in West-Ost-Richtung verlaufenden A8 Karlsruhe – München und der in Nord-Süd-Richtung verlaufenden B27 Stuttgart – Tübingen und ist einer der verkehrsreichsten Knotenpunkte Baden-Württembergs. Die Autobahn GmbH Niederlassung Südwest führt seit 24. März 2025 eine umfassende Asphalterneuerung der Auf- und Abfahrten sowie Überleitungen zur A8 und B27 durch, die bis zur benachbarten AS Möhringen reicht und diese miteinschließt.",https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58&tx_kesearch_pi1%5Bpage%5D=2,project_overview_observed
a8-laermvorsorge-valley-und-bauwerkserneuerungen,A8,Lärmvorsorge Valley und Bauwerkserneuerungen,planning,Planfeststellungsverfahren,,,2023-02-07,1,2023-02-07:Planfeststellungsverfahren,https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-laermvorsorge-valley-und-bauwerkserneuerungen,,https://web.archive.org/web/20230207080458/https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-laermvorsorge-valley-und-bauwerkserneuerungen,legacy_planning_page
moselbruecke-bei-schengen,A8,Moselbrücke bei Schengen,project_overview,In Planung,2025-09-17,2026-06-20,,2,2026-06-20:In Planung,https://www.autobahn.de/planen-bauen/projekt/moselbruecke-bei-schengen,"An der Moselbrücke bei Schengen wurde in 2025 eine turnusmäßige Brückenhauptprüfung durchgeführt. Erste Ergebnisse dieser umfangreichen Bauwerksprüfung erforderten unmittelbare verkehrliche Kompensationsmaßnahmen zur Entlastung der Brücke, die die Autobahn GmbH des Bundes auch zeitnah umsetzte.",https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58,project_overview_observed
a8-nachtraegliche-laermvorsorge-weyarn,A8,Nachträgliche Lärmvorsorge Weyarn,planning,Planfeststellungsverfahren,,,2023-02-07,1,2023-02-07:Planfeststellungsverfahren,https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-nachtraegliche-laermvorsorge-weyarn,,https://web.archive.org/web/20230207092758/https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-nachtraegliche-laermvorsorge-weyarn,legacy_planning_page
neubau-einer-laermschutzwand-in-kombination-mit-einer-betonschutzwand-bei-mechern,A8,Neubau einer Lärmschutzwand in Kombination mit einer Betonschutzwand bei Mechern,project_overview,Abgeschlossen,2026-06-20,2026-06-20,,1,2026-06-20:Abgeschlossen,https://www.autobahn.de/planen-bauen/projekt/neubau-einer-laermschutzwand-in-kombination-mit-einer-betonschutzwand-bei-mechern,Die Niederlassung West der Autobahn GmbH setzt zum ersten Mal auf eine Kombination aus Betonschutzwand und integrierter Lärmschutzwand.,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat58&tx_kesearch_pi1%5Bpage%5D=2,project_overview_observed
a8-as-rosenheim-as-achenmuehle,A8,Sechsstreifiger Ausbau AS Rosenheim – Achenmühle,planning,Planfeststellungsverfahren,,,2023-02-07,1,2023-02-07:Planfeststellungsverfahren,https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-as-rosenheim-as-achenmuehle,,https://web.archive.org/web/20230207091622/https://www.autobahn.de/suedbayern/planfeststellungsverfahren/laufende-planfeststellungsverfahren/a8-as-rosenheim-as-achenmuehle,legacy_planning_page
erneuerung-der-autobahnbruecke-an-der-as-oberaudorf,A93,A93 Erneuerung der Autobahnbrücke an der AS Oberaudorf,project_overview,In Planung,2026-01-21,2026-06-20,,2,2026-01-21:In Planung|2026-06-20:In Planung,https://www.autobahn.de/planen-bauen/projekt/erneuerung-der-autobahnbruecke-an-der-as-oberaudorf,Ersatzneubau der Brücke Tiroler Straße über A93 Süd bei Oberaudorf,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat120,project_overview_observed
a-93-regensburg-holledau-a-9-grundhafte-fahrbahnerneuerung-zwischen-regensburg-sued-und-dreieck-saalhaupt,A93,A93 Regensburg – Holledau (A9) Grundhafte Fahrbahnerneuerung  zwischen Regensburg-Süd und  Dreieck Saalhaupt,project_overview,In Umsetzung,2024-06-20,2026-06-20,,6,2024-06-20:In Umsetzung|2024-12-03:In Umsetzung|2025-05-19:In Umsetzung|2025-09-17:In Umsetzung|2026-01-21:In Umsetzung|2026-06-20:In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/a-93-regensburg-holledau-a-9-grundhafte-fahrbahnerneuerung-zwischen-regensburg-sued-und-dreieck-saalhaupt,Die Betonfahrbahn entlang der A 93 wurde in den frühen 1980er Jahren für den Verkehr freigegeben. Mittlerweile hat die Fahrbahn das Ende ihrer planmäßigen Lebensdauer erreicht und muss daher im Abschnitt von Elsendorf bis nördlich Regensburg schrittweise grundhaft erneuert werden.,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat120,project_overview_observed
erneuerung-der-waldnaabtalbruecke,A93,Erneuerung der Waldnaabtalbrücke,project_overview,In Umsetzung,2026-06-20,2026-06-20,,1,2026-06-20:In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/erneuerung-der-waldnaabtalbruecke,zwischen den Anschlussstellen Neustadt a.d. Waldnaab und Windischeschenbach,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat120,project_overview_observed
ersatzneubau-ueberfuehrungsbauwerk-bw-144c,A93,Ersatzneubau Überführungsbauwerk BW 144c,project_overview,In Umsetzung,2026-06-20,2026-06-20,,1,2026-06-20:In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/ersatzneubau-ueberfuehrungsbauwerk-bw-144c,Anschlussstelle Nabburg,https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1%5D=syscat120,project_overview_observed
