site_id,road,direction,site_name,date,kfz_h_p10,kfz_h_p50,kfz_h_p90,sv_h_pred,v_kfz_pred,interval_width,relative_interval_width,原因
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-01,35924,50732,66926,1173,131.1,31002,0.959348,Historical Traffic Baseline: 62.5%；Date and Time Pattern: 11.5%；Holiday Effect: 10.8%；Road Segment and Detector Attributes: 10.3%；Weather and Temperature: 2.9%；Construction Impact: 2.0%
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-02,47553,64941,81919,3770,118.2,34366,0.628565,Historical Traffic Baseline: 67.2%；Date and Time Pattern: 13.5%；Holiday Effect: 9.2%；Road Segment and Detector Attributes: 6.3%；Weather and Temperature: 2.5%；Construction Impact: 1.1%
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-03,51740,69356,84956,2723,115.7,33216,0.657241,Historical Traffic Baseline: 67.0%；Date and Time Pattern: 15.2%；Holiday Effect: 6.8%；Road Segment and Detector Attributes: 5.8%；Weather and Temperature: 4.5%
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-04,47996,62458,75645,1137,120.9,27649,0.604323,Historical Traffic Baseline: 70.9%；Date and Time Pattern: 11.5%；Road Segment and Detector Attributes: 8.2%；Weather and Temperature: 5.9%；Holiday Effect: 2.7%
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-05,39255,54302,69728,5136,119.1,30473,0.629069,Historical Traffic Baseline: 71.8%；Date and Time Pattern: 10.0%；Holiday Effect: 7.8%；Road Segment and Detector Attributes: 6.8%；Weather and Temperature: 3.0%
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-06,36994,51468,67741,1658,124.5,30747,0.780798,Historical Traffic Baseline: 60.7%；Holiday Effect: 13.4%；Date and Time Pattern: 12.7%；Road Segment and Detector Attributes: 9.2%；Weather and Temperature: 2.7%；Construction Impact: 1.3%
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-07,37389,45281,52008,7915,121.3,14619,0.393763,Historical Traffic Baseline: 78.0%；Holiday Effect: 8.3%；Date and Time Pattern: 6.3%；Weather and Temperature: 3.4%；Road Segment and Detector Attributes: 3.1%；Construction Impact: 1.0%
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-08,37823,45129,51154,7698,124.6,13330,0.346032,Historical Traffic Baseline: 77.7%；Holiday Effect: 8.8%；Date and Time Pattern: 6.3%；Road Segment and Detector Attributes: 3.5%；Weather and Temperature: 2.7%；Construction Impact: 1.1%
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-09,39720,48211,56802,6947,123.2,17082,0.391518,Historical Traffic Baseline: 80.4%；Holiday Effect: 7.5%；Road Segment and Detector Attributes: 4.6%；Date and Time Pattern: 3.7%；Weather and Temperature: 2.9%
A8_Mch_MQB25_Mch_H,A8,Mch,MQB25_Mch_H,2026-01-10,43430,57082,69711,4760,119.7,26281,0.524351,Historical Traffic Baseline: 81.4%；Date and Time Pattern: 5.3%；Holiday Effect: 4.5%；Weather and Temperature: 4.4%；Road Segment and Detector Attributes: 3.4%
