road,identifier,title,subtitle,direction,display_type,coordinate_lat,coordinate_lon,extent_from_lat,extent_from_lon,extent_to_lat,extent_to_lon,impact_lower,impact_upper,length_km,max_speed_kph,max_width_m,start_date,end_date,schedule_text,is_future,is_blocked,lane_config_type,lane_config_desc,total_lanes,open_lanes,closed_lanes,is_2_plus_0,has_breakdown_lane,raw_symbols,target_corridor,raw_description,start_dt,end_dt,in_a8_ost_corridor,in_a93_sued_corridor
A8,2025-060228--vi-fbm.2026-06-15_08-00-00-000.devi-zus.2026-06-01_00-00-00-000_008.de3,A8 | Bundesgrenze - Weiler, Luxemburg -> Saarlouis, Luxemburg -> Saarlouis,SHORT_TERM_ROADWORKS,49.47987760703651,6.369250133423089,,,,,Weiler,Bundesgrenze,,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: Jeden Montag, Dienstag, Mittwoch, Donnerstag und Freitag zwischen dem 15.06.26 und dem 26.06.26 von 08:00 bis 16:00 Uhr.  A8: Luxemburg -> Saarlouis, zwischen 0.1 km hinter Bundesgrenze und 3.6 km vor Weiler  Länge: 13.54 km | Max. 80 km/h | Maximale Durchfahrtsbreite: 5.75 m  A008 Ern. AS Mzg.-Wellingen-AS Perl RF SB 77,8 - KM 90,7",False,false,2+0_bidirectional,"2+0 configuration: 1 lane(s) in driving direction, 1 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",4,2,2,True,True,"['BREAKDOWN_LANE', 'BORDER_LEFT', 'ARROW_DOWN', 'CLOSED', 'SEPARATE', 'CLOSED', 'ARROW_UP', 'BORDER_RIGHT', 'BREAKDOWN_LANE']",,"['Die Baustelle ist zu folgenden Zeiträumen gültig:', 'Jeden Montag, Dienstag, Mittwoch, Donnerstag und Freitag zwischen dem 15.06.26 und dem 26.06.26 von 08:00 bis 16:00 Uhr.', '', 'A8: Luxemburg -> Saarlouis, zwischen 0.1 km hinter Bundesgrenze und 3.6 km vor Weiler', '', 'Länge: 13.54 km | Max. 80 km/h | Maximale Durchfahrtsbreite: 5.75 m', '', 'A008 Ern. AS Mzg.-Wellingen-AS Perl RF SB 77,8 - KM 90,7']",,,False,False
A8,2025-030722--vi-bs.2025-07-28_08-30-00-000.devi-bs.2025-06-30_00-00-00-000_002.de3,A8 | Bundesgrenze - Moseltal, Luxemburg -> Saarlouis, Luxemburg -> Saarlouis,ROADWORKS,49.47932871273438,6.368012067178018,,,,,Moseltal,Bundesgrenze,,,,2025-07-28T08:30:00+02:00,2027-08-01T00:00:00+02:00,"Zeitraum dieser Bauphase: Beginn: 28.07.25 um 08:30 Uhr Ende: 01.08.27 um 00:00 Uhr (Ende der Gesamtmaßnahme: 01.08.27)  A8: Luxemburg -> Saarlouis, zwischen Bundesgrenze und 0.3 km vor Moseltal  Länge: 0.38 km | Maximale Durchfahrtsbreite: 3.5 m  A8 Brückeninstandsetzung",False,false,2+0_bidirectional,"2+0 configuration: 0 lane(s) in driving direction, 1 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",3,1,2,True,False,"['SEPARATE', 'ARROW_UP', 'CLOSED', 'BORDER_RIGHT', 'CLOSED']",,"['Zeitraum dieser Bauphase:', 'Beginn: 28.07.25 um 08:30 Uhr', 'Ende: 01.08.27 um 00:00 Uhr', '(Ende der Gesamtmaßnahme: 01.08.27)', '', 'A8: Luxemburg -> Saarlouis, zwischen Bundesgrenze und 0.3 km vor Moseltal', '', 'Länge: 0.38 km | Maximale Durchfahrtsbreite: 3.5 m', '', 'A8 Brückeninstandsetzung']",2025-07-28 06:30:00+00:00,2027-07-31 22:00:00+00:00,False,False
A8,2026-027577--vi-bs.2026-06-28_11-30-00-000.devi-bs.2026-06-28_08-00-00-000.de7,A8 | Wallerfangen - Saarlouis, Saarbrücken -> Saarlouis, Saarbrücken -> Saarlouis,SHORT_TERM_ROADWORKS,49.32862123271528,6.731117299501033,,,,,Saarlouis,Wallerfangen,,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: 28.06.26 von 11:30 bis 12:30 Uhr  A620: Saarbrücken -> Saarlouis, zwischen 1.0 km hinter AS Wallerfangen und 0.6 km vor AD Saarlouis  Länge: 0.01 km | Maximale Durchfahrtsbreite: 3.25 m  A620 von Wallerfangen (AS) Brückenwartung",True,false,2+0_bidirectional,"2+0 configuration: 0 lane(s) in driving direction, 1 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",2,1,1,True,True,"['SEPARATE', 'CLOSED', 'ARROW_UP', 'BORDER_RIGHT', 'BREAKDOWN_LANE']",,"['Die Baustelle ist zu folgenden Zeiträumen gültig:', '28.06.26 von 11:30 bis 12:30 Uhr', '', 'A620: Saarbrücken -> Saarlouis, zwischen 1.0 km hinter AS Wallerfangen und 0.6 km vor AD Saarlouis', '', 'Länge: 0.01 km | Maximale Durchfahrtsbreite: 3.25 m', '', 'A620 von Wallerfangen (AS) Brückenwartung']",,,False,False
A8,2026-027577--vi-bs.2026-06-28_09-00-00-000.devi-bs.2026-06-28_08-00-00-000.de3,A8 | Wallerfangen - Saarlouis, Saarbrücken -> Saarlouis, Saarbrücken -> Saarlouis,SHORT_TERM_ROADWORKS,49.32861322674049,6.731123549704141,,,,,Saarlouis,Wallerfangen,,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: 28.06.26 von 09:00 bis 10:00 Uhr  A620: Saarbrücken -> Saarlouis, zwischen 1.0 km hinter AS Wallerfangen und 0.6 km vor AD Saarlouis  Länge: 0.01 km | Maximale Durchfahrtsbreite: 3.25 m  A620 von Wallerfangen (AS) Brückenwartung",True,false,2+0_bidirectional,"2+0 configuration: 0 lane(s) in driving direction, 1 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",2,1,1,True,True,"['SEPARATE', 'ARROW_UP', 'CLOSED', 'BORDER_RIGHT', 'BREAKDOWN_LANE']",,"['Die Baustelle ist zu folgenden Zeiträumen gültig:', '28.06.26 von 09:00 bis 10:00 Uhr', '', 'A620: Saarbrücken -> Saarlouis, zwischen 1.0 km hinter AS Wallerfangen und 0.6 km vor AD Saarlouis', '', 'Länge: 0.01 km | Maximale Durchfahrtsbreite: 3.25 m', '', 'A620 von Wallerfangen (AS) Brückenwartung']",,,False,False
A8,2025-030722--vi-bs.2025-07-28_08-30-00-000.devi-bs.2025-06-30_00-00-00-000_002.de1,A8 | Perl-Borg - Bundesgrenze, Saarlouis -> Luxemburg, Saarlouis -> Luxemburg,ROADWORKS,49.486863049121744,6.378268825981015,,,,,Bundesgrenze,Perl-Borg,,,,2025-07-28T08:30:00+02:00,2027-08-01T00:00:00+02:00,"Zeitraum dieser Bauphase: Beginn: 28.07.25 um 08:30 Uhr Ende: 01.08.27 um 00:00 Uhr (Ende der Gesamtmaßnahme: 01.08.27)  A8: Saarlouis -> Luxemburg, zwischen 3.3 km hinter AS Perl-Borg und Bundesgrenze  Länge: 1.13 km | Maximale Durchfahrtsbreite: 3.5 m  A8 Brückeninstandsetzung",False,false,2+0_bidirectional,"2+0 configuration: 0 lane(s) in driving direction, 1 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",3,1,2,True,False,"['SEPARATE', 'ARROW_UP', 'CLOSED', 'BORDER_RIGHT', 'CLOSED']",,"['Zeitraum dieser Bauphase:', 'Beginn: 28.07.25 um 08:30 Uhr', 'Ende: 01.08.27 um 00:00 Uhr', '(Ende der Gesamtmaßnahme: 01.08.27)', '', 'A8: Saarlouis -> Luxemburg, zwischen 3.3 km hinter AS Perl-Borg und Bundesgrenze', '', 'Länge: 1.13 km | Maximale Durchfahrtsbreite: 3.5 m', '', 'A8 Brückeninstandsetzung']",2025-07-28 06:30:00+00:00,2027-07-31 22:00:00+00:00,False,False
A8,2025-060228--vi-fbm.2026-06-15_08-00-00-000.devi-zus.2026-06-01_00-00-00-000_008.de1,A8 | Weiler - Bundesgrenze, Saarlouis -> Luxemburg, Saarlouis -> Luxemburg,SHORT_TERM_ROADWORKS,49.45230914793094,6.519346133475216,,,,,Bundesgrenze,Weiler,,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: Jeden Montag, Dienstag, Mittwoch, Donnerstag und Freitag zwischen dem 15.06.26 und dem 26.06.26 von 08:00 bis 16:00 Uhr.  A8: Saarlouis -> Luxemburg, zwischen 3.6 km hinter Weiler und 0.1 km vor Bundesgrenze  Länge: 13.54 km | Max. 80 km/h | Maximale Durchfahrtsbreite: 5.75 m  A008 Ern. AS Mzg.-Wellingen-AS Perl RF SB 77,8 - KM 90,7",False,false,2+0_bidirectional,"2+0 configuration: 1 lane(s) in driving direction, 1 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",4,2,2,True,True,"['BREAKDOWN_LANE', 'BORDER_LEFT', 'ARROW_DOWN', 'CLOSED', 'SEPARATE', 'CLOSED', 'ARROW_UP', 'BORDER_RIGHT', 'BREAKDOWN_LANE']",,"['Die Baustelle ist zu folgenden Zeiträumen gültig:', 'Jeden Montag, Dienstag, Mittwoch, Donnerstag und Freitag zwischen dem 15.06.26 und dem 26.06.26 von 08:00 bis 16:00 Uhr.', '', 'A8: Saarlouis -> Luxemburg, zwischen 3.6 km hinter Weiler und 0.1 km vor Bundesgrenze', '', 'Länge: 13.54 km | Max. 80 km/h | Maximale Durchfahrtsbreite: 5.75 m', '', 'A008 Ern. AS Mzg.-Wellingen-AS Perl RF SB 77,8 - KM 90,7']",,,False,False
A8,2023-001099--vi-bs.2026-06-08_08-30-00-000.devi-zus.2024-09-17_09-00-00-000.de197,A8 | Saarbrücken - Friedrichsthal-Bildstock, Saarlouis -> Neunkirchen, Saarlouis -> Neunkirchen,SHORT_TERM_ROADWORKS,49.34374958712686,7.0482514279646304,,,,,Friedrichsthal-Bildstock,Saarbrücken,,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: 23.06.26 von 09:30 bis 15:00 Uhr 24.06.26 von 09:30 bis 15:00 Uhr  A8: Saarlouis -> Neunkirchen, zwischen 2.5 km hinter AK Saarbrücken und 1.2 km vor AS Friedrichsthal-Bildstock  Länge: 1.31 km | Maximale Durchfahrtsbreite: 3.25 m  A8 Schallschutzarbeiten",False,false,2+0_bidirectional,"2+0 configuration: 0 lane(s) in driving direction, 1 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",2,1,1,True,True,"['SEPARATE', 'ARROW_UP', 'CLOSED', 'BORDER_RIGHT', 'BREAKDOWN_LANE']",,"['Die Baustelle ist zu folgenden Zeiträumen gültig:', '23.06.26 von 09:30 bis 15:00 Uhr', '24.06.26 von 09:30 bis 15:00 Uhr', '', 'A8: Saarlouis -> Neunkirchen, zwischen 2.5 km hinter AK Saarbrücken und 1.2 km vor AS Friedrichsthal-Bildstock', '', 'Länge: 1.31 km | Maximale Durchfahrtsbreite: 3.25 m', '', 'A8 Schallschutzarbeiten']",,,False,False
A8,2023-001099--vi-bs.2026-06-08_08-30-00-000.devi-zus.2024-09-17_09-00-00-000.de195,A8 | Saarbrücken - Friedrichsthal-Bildstock, Saarlouis -> Neunkirchen, Saarlouis -> Neunkirchen,SHORT_TERM_ROADWORKS,49.34374958712686,7.0482514279646304,,,,,Friedrichsthal-Bildstock,Saarbrücken,,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: 23.06.26 von 09:30 bis 15:00 Uhr 24.06.26 von 09:30 bis 15:00 Uhr  A8: Saarlouis -> Neunkirchen, zwischen 2.5 km hinter AK Saarbrücken und 1.2 km vor AS Friedrichsthal-Bildstock  Länge: 1.31 km | Maximale Durchfahrtsbreite: 3.25 m  A8 Schallschutzarbeiten",False,false,2+0_bidirectional,"2+0 configuration: 0 lane(s) in driving direction, 1 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",2,1,1,True,True,"['SEPARATE', 'CLOSED', 'ARROW_UP', 'BORDER_RIGHT', 'BREAKDOWN_LANE']",,"['Die Baustelle ist zu folgenden Zeiträumen gültig:', '23.06.26 von 09:30 bis 15:00 Uhr', '24.06.26 von 09:30 bis 15:00 Uhr', '', 'A8: Saarlouis -> Neunkirchen, zwischen 2.5 km hinter AK Saarbrücken und 1.2 km vor AS Friedrichsthal-Bildstock', '', 'Länge: 1.31 km | Maximale Durchfahrtsbreite: 3.25 m', '', 'A8 Schallschutzarbeiten']",,,False,False
A8,2023-001099--vi-bs.2025-11-14_06-00-00-000.devi-zus.2024-09-17_09-00-00-000.de158,A8 | Saarbrücken - Friedrichsthal-Bildstock, Saarlouis -> Neunkirchen, Saarlouis -> Neunkirchen,ROADWORKS,49.34321655539114,7.048859080114184,,,,,Friedrichsthal-Bildstock,Saarbrücken,,,,2025-11-14T06:00:00+01:00,2026-08-31T12:00:00+02:00,"Zeitraum dieser Bauphase: Beginn: 14.11.25 um 06:00 Uhr Ende: 31.08.26 um 12:00 Uhr (Ende der Gesamtmaßnahme: 28.02.27)  A8: Saarlouis -> Neunkirchen, zwischen 2.6 km hinter AK Saarbrücken und 1.7 km vor AS Friedrichsthal-Bildstock  Länge: 0.69 km | Maximale Durchfahrtsbreite: 6.25 m  A8 Schallschutzarbeiten",False,false,2+0_bidirectional,"2+0 configuration: 0 lane(s) in driving direction, 2 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",2,2,0,True,True,"['SEPARATE', 'ARROW_UP', 'ARROW_UP', 'BORDER_RIGHT', 'BREAKDOWN_LANE']",,"['Zeitraum dieser Bauphase:', 'Beginn: 14.11.25 um 06:00 Uhr', 'Ende: 31.08.26 um 12:00 Uhr', '(Ende der Gesamtmaßnahme: 28.02.27)', '', 'A8: Saarlouis -> Neunkirchen, zwischen 2.6 km hinter AK Saarbrücken und 1.7 km vor AS Friedrichsthal-Bildstock', '', 'Länge: 0.69 km | Maximale Durchfahrtsbreite: 6.25 m', '', 'A8 Schallschutzarbeiten']",2025-11-14 05:00:00+00:00,2026-08-31 10:00:00+00:00,False,False
A8,2023-001099--vi-bs.2025-11-14_06-00-00-000.devi-zus.2024-09-17_09-00-00-000.de156,A8 | Merchweiler - Friedrichsthal-Bildstock, Saarlouis -> Neunkirchen, Saarlouis -> Neunkirchen,ROADWORKS,49.338757889891326,7.055427041895462,,,,,Friedrichsthal-Bildstock,Merchweiler,,,,2025-11-14T06:00:00+01:00,2026-08-31T12:00:00+02:00,"Zeitraum dieser Bauphase: Beginn: 14.11.25 um 06:00 Uhr Ende: 31.08.26 um 12:00 Uhr (Ende der Gesamtmaßnahme: 28.02.27)  A8: Saarlouis -> Neunkirchen, zwischen 0.4 km hinter AS Merchweiler und 0.3 km vor AS Friedrichsthal-Bildstock  Länge: 1.46 km | Maximale Durchfahrtsbreite: 3.75 m  A8 Schallschutzarbeiten",False,false,2+0_bidirectional,"2+0 configuration: 2 lane(s) in driving direction, 2 lane(s) for oncoming traffic, bidirectional traffic on one carriageway",6,4,2,True,False,"['ARROW_DOWN', 'BORDER_LEFT', 'ARROW_DOWN', 'SEPARATE', 'ARROW_UP', 'SEPARATE', 'ARROW_UP', 'CLOSED', 'BORDER_RIGHT', 'CLOSED']",,"['Zeitraum dieser Bauphase:', 'Beginn: 14.11.25 um 06:00 Uhr', 'Ende: 31.08.26 um 12:00 Uhr', '(Ende der Gesamtmaßnahme: 28.02.27)', '', 'A8: Saarlouis -> Neunkirchen, zwischen 0.4 km hinter AS Merchweiler und 0.3 km vor AS Friedrichsthal-Bildstock', '', 'Länge: 1.46 km | Maximale Durchfahrtsbreite: 3.75 m', '', 'A8 Schallschutzarbeiten']",2025-11-14 05:00:00+00:00,2026-08-31 10:00:00+00:00,False,False
