date,record_id,region_code,region_name,country_code,country_name,holiday_class,api_type,name,start_date,end_date,day_index,days_to_end,duration_days,weekday_iso,is_weekend,is_start_date,is_end_date
2023-01-01,13f3463d-9e9f-4605-aeab-f4d9733d7bd7,AT-SB,Salzburg,AT,Austria,public_holiday,Public,New Year's Day,2023-01-01,2023-01-01,0,0,1,7,true,true,true
2023-01-01,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-SB,Salzburg,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,8,5,14,7,true,false,false
2023-01-01,13f3463d-9e9f-4605-aeab-f4d9733d7bd7,AT-TI,Tyrol,AT,Austria,public_holiday,Public,New Year's Day,2023-01-01,2023-01-01,0,0,1,7,true,true,true
2023-01-01,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-TI,Tyrol,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,8,5,14,7,true,false,false
2023-01-01,94498ba1-28e3-4dcd-b28f-d7aaf4cc56d7,DE-BY,Bavaria,DE,Germany,public_holiday,Public,New Year's Day,2023-01-01,2023-01-01,0,0,1,7,true,true,true
2023-01-01,5a7eae70-428a-4bf5-8f40-8571e41cd058,DE-BY,Bavaria,DE,Germany,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-07,8,6,15,7,true,false,false
2023-01-02,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-SB,Salzburg,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,9,4,14,1,false,false,false
2023-01-02,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-TI,Tyrol,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,9,4,14,1,false,false,false
2023-01-02,5a7eae70-428a-4bf5-8f40-8571e41cd058,DE-BY,Bavaria,DE,Germany,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-07,9,5,15,1,false,false,false
2023-01-03,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-SB,Salzburg,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,10,3,14,2,false,false,false
2023-01-03,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-TI,Tyrol,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,10,3,14,2,false,false,false
2023-01-03,5a7eae70-428a-4bf5-8f40-8571e41cd058,DE-BY,Bavaria,DE,Germany,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-07,10,4,15,2,false,false,false
2023-01-04,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-SB,Salzburg,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,11,2,14,3,false,false,false
2023-01-04,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-TI,Tyrol,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,11,2,14,3,false,false,false
2023-01-04,5a7eae70-428a-4bf5-8f40-8571e41cd058,DE-BY,Bavaria,DE,Germany,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-07,11,3,15,3,false,false,false
2023-01-05,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-SB,Salzburg,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,12,1,14,4,false,false,false
2023-01-05,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-TI,Tyrol,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,12,1,14,4,false,false,false
2023-01-05,5a7eae70-428a-4bf5-8f40-8571e41cd058,DE-BY,Bavaria,DE,Germany,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-07,12,2,15,4,false,false,false
2023-01-06,89cba73b-bb5d-44dd-b6ef-bead84113a54,AT-SB,Salzburg,AT,Austria,public_holiday,Public,Epiphany,2023-01-06,2023-01-06,0,0,1,5,false,true,true
2023-01-06,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-SB,Salzburg,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,13,0,14,5,false,false,true
2023-01-06,89cba73b-bb5d-44dd-b6ef-bead84113a54,AT-TI,Tyrol,AT,Austria,public_holiday,Public,Epiphany,2023-01-06,2023-01-06,0,0,1,5,false,true,true
2023-01-06,a0c1fe95-4cdb-49d1-834e-5489c6c2dc69,AT-TI,Tyrol,AT,Austria,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-06,13,0,14,5,false,false,true
2023-01-06,04f86fc2-424a-46e5-befd-2dce33158470,DE-BY,Bavaria,DE,Germany,public_holiday,Public,Epiphany,2023-01-06,2023-01-06,0,0,1,5,false,true,true
2023-01-06,5a7eae70-428a-4bf5-8f40-8571e41cd058,DE-BY,Bavaria,DE,Germany,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-07,13,1,15,5,false,false,false
2023-01-07,5a7eae70-428a-4bf5-8f40-8571e41cd058,DE-BY,Bavaria,DE,Germany,school_holiday,School,Christmas Holidays,2022-12-24,2023-01-07,14,0,15,6,true,false,true
2023-02-13,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-SB,Salzburg,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,0,5,6,1,false,true,false
2023-02-13,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-TI,Tyrol,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,0,5,6,1,false,true,false
2023-02-14,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-SB,Salzburg,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,1,4,6,2,false,false,false
2023-02-14,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-TI,Tyrol,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,1,4,6,2,false,false,false
2023-02-15,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-SB,Salzburg,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,2,3,6,3,false,false,false
2023-02-15,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-TI,Tyrol,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,2,3,6,3,false,false,false
2023-02-16,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-SB,Salzburg,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,3,2,6,4,false,false,false
2023-02-16,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-TI,Tyrol,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,3,2,6,4,false,false,false
2023-02-17,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-SB,Salzburg,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,4,1,6,5,false,false,false
2023-02-17,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-TI,Tyrol,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,4,1,6,5,false,false,false
2023-02-18,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-SB,Salzburg,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,5,0,6,6,true,false,true
2023-02-18,9246ea6e-41c7-4875-a9f6-dd0ca12fa2f0,AT-TI,Tyrol,AT,Austria,school_holiday,School,Semester Holidays,2023-02-13,2023-02-18,5,0,6,6,true,false,true
