window_id,start_date,end_date,risk_level,expected_direction,a8_direction,a93_direction,regions,holiday_names,record_origins,assessment_status
TW-001,2023-01-04,2023-01-07,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-002,2023-02-10,2023-02-13,high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Semester Holidays,api,rule_derived
TW-003,2023-02-16,2023-02-18,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Semester Holidays,api,rule_derived
TW-004,2023-02-17,2023-02-20,medium,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Spring Holidays,api,rule_derived
TW-005,2023-02-22,2023-02-24,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Spring Holidays,api,rule_derived
TW-006,2023-03-31,2023-04-03,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Easter Holidays,api,rule_derived
TW-007,2023-04-07,2023-04-10,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Easter Holidays,api,rule_derived
TW-008,2023-04-13,2023-04-15,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Easter Holidays,api,rule_derived
TW-009,2023-05-26,2023-06-01,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Pentecost Holidays,api,rule_derived
TW-010,2023-05-26,2023-05-29,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Pentecost Holidays,api,rule_derived
TW-011,2023-06-07,2023-06-09,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Pentecost Holidays,api,rule_derived
TW-012,2023-07-07,2023-07-09,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Summer Holidays,api,rule_derived
TW-013,2023-07-28,2023-07-31,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Summer Holidays,api,rule_derived
TW-014,2023-09-08,2023-09-11,extreme,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Summer Holidays,api,rule_derived
TW-015,2023-10-26,2023-10-30,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Autumn Holidays,api,rule_derived
TW-016,2023-10-29,2023-10-31,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Autumn Holidays,api,rule_derived
TW-017,2023-11-02,2023-11-04,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Autumn Holidays,api,rule_derived
TW-018,2023-12-22,2023-12-24,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-019,2024-01-03,2024-01-06,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
