date,event_name,city,impact_level,affects_a8_ost,affects_a93_sued,day_position,is_weekend,status
2023-01-26,Mozartwoche,Salzburg,low,True,False,start,False,confirmed
2023-01-27,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2023-01-28,Mozartwoche,Salzburg,low,True,False,mid,True,confirmed
2023-01-29,Mozartwoche,Salzburg,low,True,False,mid,True,confirmed
2023-01-30,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2023-01-31,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2023-02-01,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2023-02-02,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2023-02-03,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2023-02-04,Mozartwoche,Salzburg,low,True,False,mid,True,confirmed
2023-02-05,Mozartwoche,Salzburg,low,True,False,end,True,confirmed
2023-04-21,Frühlingsfest,Munich,med,True,False,start,False,confirmed
2023-04-22,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2023-04-23,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2023-04-24,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-04-25,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-04-26,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-04-27,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-04-28,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-04-29,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2023-04-30,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2023-05-01,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-05-02,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-05-03,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-05-04,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-05-05,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2023-05-06,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2023-05-07,Frühlingsfest,Munich,med,True,False,end,True,confirmed
2023-06-21,Tollwood Sommer,Munich,med,True,False,start,False,confirmed
2023-06-22,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-06-23,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-06-24,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2023-06-25,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2023-06-26,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-06-27,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-06-28,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-06-29,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-06-30,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-01,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2023-07-02,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2023-07-03,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-04,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-05,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-06,Kufsteiner Operettensommer,Kufstein,low,False,True,start,False,confirmed
2023-07-06,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-07,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-07,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-08,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2023-07-08,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2023-07-09,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2023-07-09,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2023-07-10,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-10,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-11,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-11,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-12,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-12,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-13,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-13,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-14,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-14,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-15,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2023-07-15,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2023-07-16,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2023-07-16,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2023-07-17,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-17,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-18,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-18,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-18,Salzburger Festspiele,Salzburg,high,True,False,start,False,confirmed
2023-07-19,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-19,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-19,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-07-20,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-20,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-20,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-07-21,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-21,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2023-07-21,Rosenheimer Sommerfestival,Rosenheim,low,True,True,start,False,confirmed
2023-07-21,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-07-22,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2023-07-22,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2023-07-22,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,True,confirmed
2023-07-22,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-07-23,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2023-07-23,Tollwood Sommer,Munich,med,True,False,end,True,confirmed
2023-07-23,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,True,confirmed
2023-07-23,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-07-24,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-24,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-07-24,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-07-25,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-25,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-07-25,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-07-26,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-26,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-07-26,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-07-27,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-27,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-07-27,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-07-28,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-28,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-07-28,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-07-29,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2023-07-29,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,True,confirmed
2023-07-29,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-07-30,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
