country_code,country_name,dataset_type,oldest_available_start_date,latest_available_start_date,target_first_record_start,target_last_record_start,target_last_record_end,target_record_count,has_any_record_overlap_2026,has_any_record_overlap_2027,has_any_record_overlap_2028,has_any_record_overlap_2029,retrieved_at
AT,Austria,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,52,true,true,true,true,2026-06-19T19:49:18+00:00
AT,Austria,school,2016-12-24,2028-12-24,2025-12-24,2028-12-24,2029-01-06,42,true,true,true,true,2026-06-19T19:49:18+00:00
BE,Belgium,public,2020-01-01,2030-12-25,2026-01-01,2029-12-25,2029-12-25,48,true,true,true,true,2026-06-19T19:49:18+00:00
BE,Belgium,school,2019-12-23,2029-07-01,2025-12-22,2029-07-01,2029-08-31,32,true,true,true,true,2026-06-19T19:49:18+00:00
BG,Bulgaria,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,60,true,true,true,true,2026-06-19T19:49:18+00:00
BG,Bulgaria,school,2019-12-21,2026-07-01,2025-12-24,2026-07-01,2026-09-14,10,true,false,false,false,2026-06-19T19:49:18+00:00
CH,Switzerland,public,2020-01-01,2030-12-31,2026-01-01,2029-12-31,2029-12-31,156,true,true,true,true,2026-06-19T19:49:18+00:00
CH,Switzerland,school,2019-12-21,2035-07-23,2025-12-20,2029-12-24,2030-01-06,388,true,true,true,true,2026-06-19T19:49:18+00:00
CZ,Czechia,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,56,true,true,true,true,2026-06-19T19:49:18+00:00
CZ,Czechia,school,2019-12-23,2028-07-01,2025-12-22,2028-07-01,2028-09-03,38,true,true,true,false,2026-06-19T19:49:18+00:00
DE,Germany,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,81,true,true,true,true,2026-06-19T19:49:18+00:00
DE,Germany,school,2010-07-12,2031-05-23,2025-12-17,2029-12-24,2030-01-11,450,true,true,true,true,2026-06-19T19:49:18+00:00
HR,Croatia,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,52,true,true,true,true,2026-06-19T19:49:18+00:00
HR,Croatia,school,2019-12-23,2026-06-15,2025-12-24,2026-06-15,2026-08-31,3,true,false,false,false,2026-06-19T19:49:18+00:00
HU,Hungary,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,44,true,true,true,true,2026-06-19T19:49:18+00:00
HU,Hungary,school,2014-10-23,2026-06-20,2025-12-20,2026-06-20,2026-08-31,3,true,false,false,false,2026-06-19T19:49:18+00:00
IT,Italy,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,92,true,true,true,true,2026-06-19T19:49:18+00:00
IT,Italy,school,2019-12-21,2026-06-16,2025-12-22,2026-06-16,2026-06-16,20,true,false,false,false,2026-06-19T19:49:18+00:00
NL,Netherlands,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,44,true,true,true,true,2026-06-19T19:49:18+00:00
NL,Netherlands,school,2019-12-21,2030-07-20,2025-12-20,2029-12-22,2030-01-06,37,true,true,true,true,2026-06-19T19:49:18+00:00
PL,Poland,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,56,true,true,true,true,2026-06-19T19:49:18+00:00
PL,Poland,school,2019-12-23,2027-02-15,2026-01-19,2027-02-15,2027-02-28,8,true,true,false,false,2026-06-19T19:49:18+00:00
RO,Romania,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,64,true,true,true,true,2026-06-19T19:49:18+00:00
RO,Romania,school,2014-12-20,2026-06-20,2025-12-20,2026-06-20,2026-09-06,6,true,false,false,false,2026-06-19T19:49:18+00:00
RS,Serbia,public,2020-01-01,2030-11-11,2026-01-01,2029-11-11,2029-11-11,36,true,true,true,true,2026-06-19T19:49:18+00:00
RS,Serbia,school,2019-12-30,2026-06-22,2025-12-31,2026-06-22,2026-08-31,5,true,false,false,false,2026-06-19T19:49:18+00:00
SI,Slovenia,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,56,true,true,true,true,2026-06-19T19:49:18+00:00
SI,Slovenia,school,2019-12-25,2026-06-26,2025-12-25,2026-06-26,2026-08-31,6,true,false,false,false,2026-06-19T19:49:18+00:00
SK,Slovakia,public,2020-01-01,2030-12-26,2026-01-01,2029-12-26,2029-12-26,56,true,true,true,true,2026-06-19T19:49:18+00:00
SK,Slovakia,school,2019-12-23,2028-07-03,2025-12-22,2028-07-03,2028-09-01,20,true,true,true,false,2026-06-19T19:49:18+00:00
