iter	MultiQuantile:alpha=0.1,0.5,0.9
0	235.004904
1	230.8139361
2	226.6923282
3	222.6837666
4	218.7821832
5	214.9741736
6	211.2620652
7	207.6411972
8	204.169497
9	200.7809683
10	197.4095313
11	194.0734951
12	190.8504579
13	187.7149011
14	184.6189323
15	181.6367353
16	178.7627454
17	175.8933089
18	173.1540274
19	170.4493803
20	167.7821957
21	165.2255155
22	162.7235141
23	160.3108064
24	157.9327631
25	155.6045924
26	153.2880221
27	151.0873596
28	148.9003768
29	146.7309144
30	144.592928
31	142.4736374
32	140.5006296
33	138.4723186
34	136.5600454
35	134.6501508
36	132.7869926
37	130.9639255
38	129.1837716
39	127.4538857
40	125.7795873
41	124.1304721
42	122.5106054
43	120.9802904
44	119.4579573
45	117.9268133
46	116.4515609
47	114.991549
48	113.5888121
49	112.1946645
50	110.8545847
51	109.5558595
52	108.2913261
53	107.0373983
54	105.8289427
55	104.6862775
56	103.5841342
57	102.5253618
58	101.4914997
59	100.4143069
60	99.36372931
61	98.39724827
62	97.44158553
63	96.47958243
64	95.58864736
65	94.68997908
66	93.78609195
67	92.94612808
68	92.13002669
69	91.32625909
70	90.54584041
71	89.72226416
72	88.94506061
73	88.17403873
74	87.44720973
75	86.71843385
76	86.01687605
77	85.31595458
78	84.65471127
79	84.0252495
80	83.39332974
81	82.83003298
82	82.19764308
83	81.57880725
84	81.04556916
85	80.45517284
86	79.90230227
87	79.38306984
88	78.78412582
89	78.31892791
90	77.86057466
91	77.33342181
92	76.81789236
93	76.34582341
94	75.91259833
95	75.41336669
96	74.98313244
97	74.51893482
98	74.05445564
99	73.66417072
100	73.25894697
101	72.86492411
102	72.44847591
103	72.0926415
104	71.69886162
105	71.32170361
106	70.93862662
107	70.59426531
108	70.24747931
109	69.88879979
110	69.57732011
111	69.27143049
112	68.93488242
113	68.6011949
114	68.33688973
115	68.07209546
116	67.75391479
117	67.48797016
118	67.18627566
119	66.90370887
120	66.58164576
121	66.32290797
