iter	Passed	Remaining
0	206	412436
1	312	312054
2	445	296712
3	577	287987
4	674	269303
5	799	265598
6	917	261182
7	1012	251993
8	1129	249926
9	1237	246308
10	1345	243230
11	1460	241983
12	1581	241705
13	1706	242046
14	1804	238733
15	1901	235726
16	2011	234612
17	2098	231088
18	2203	229717
19	2321	229844
20	2421	228177
21	2525	227084
22	2623	225486
23	2724	224306
24	2819	222713
25	2923	221923
26	3032	221596
27	3124	220076
28	3218	218721
29	3312	217521
30	3395	215659
31	3495	214956
32	3585	213714
33	3676	212562
34	3761	211167
35	3860	210620
36	3960	210117
37	4061	209718
38	4142	208294
39	4238	207685
40	4342	207479
41	4426	206367
42	4524	205901
43	4618	205333
44	4699	204164
45	4789	203456
46	4899	203592
47	4984	202710
48	5087	202566
49	5184	202190
50	5275	201589
51	5368	201094
52	5468	200893
53	5555	200188
54	5655	199987
55	5742	199341
56	5872	200168
57	5967	199799
58	6050	199055
59	6146	198751
60	6234	198179
61	6319	197522
62	6413	197177
63	6511	196970
64	6613	196872
65	6713	196738
66	6809	196447
67	6894	195893
68	6980	195353
69	7084	195326
70	7183	195180
71	7280	194954
72	7370	194549
73	7466	194339
74	7566	194217
75	7653	193765
76	7737	193231
77	7820	192702
78	7922	192647
79	8008	192204
80	8099	191883
81	8193	191655
82	8279	191230
83	8366	190845
84	8465	190718
85	8564	190612
86	8666	190569
87	8766	190462
88	8861	190274
89	8955	190048
90	9062	190112
91	9168	190154
92	9267	190027
93	9348	189562
94	9437	189240
95	9535	189130
96	9629	188907
97	9723	188712
98	9821	188584
99	9903	188159
100	9988	187796
101	10086	187696
102	10179	187488
103	10271	187248
104	10369	187139
105	10459	186892
106	10548	186623
107	10634	186307
108	10722	186025
109	10810	185750
110	10901	185524
111	10994	185338
112	11077	184978
113	11170	184799
114	11265	184649
115	11383	184888
116	11477	184715
117	11573	184594
118	11669	184453
119	11761	184256
120	11854	184086
121	11936	183741
122	12034	183652
123	12120	183376
124	12216	183247
125	12302	182975
126	12416	183116
127	12511	182986
128	12602	182791
129	12692	182573
130	12794	182542
131	12893	182469
132	12974	182133
133	13060	181872
134	13154	181725
135	13257	181711
136	13353	181586
137	13449	181467
138	13535	181214
139	13631	181103
140	13741	181173
141	13847	181181
142	13936	180977
143	14022	180728
144	14124	180694
145	14230	180713
146	14337	180726
147	14420	180447
148	14523	180420
149	14619	180309
150	14710	180129
151	14858	180653
152	14975	180787
153	15077	180737
154	15186	180768
155	15301	180868
156	15396	180733
157	15496	180663
158	15599	180619
159	15696	180507
160	15786	180314
161	15871	180069
162	15981	180105
163	16083	180057
164	16181	179962
165	16283	179900
166	16380	179793
167	16501	179945
168	16605	179911
169	16720	179990
170	16810	179805
171	16910	179721
172	17011	179657
173	17116	179623
174	17234	179734
175	17341	179721
176	17447	179696
177	17558	179730
178	17666	179726
179	17773	179714
180	17866	179556
181	17965	179455
182	18063	179351
183	18164	179276
184	18262	179170
185	18360	179068
186	18460	178979
187	18560	178896
188	18676	178957
189	18767	178787
190	18877	178792
191	18979	178726
192	19083	178672
193	19182	178574
