iter	Passed	Remaining
0	86	172125
1	152	152696
2	241	160840
3	321	160400
4	378	151131
5	432	143659
6	509	145019
7	581	144763
8	658	145721
9	714	142112
10	791	143098
11	868	143839
12	927	141754
13	982	139436
14	1038	137475
15	1093	135569
16	1149	134056
17	1243	136967
18	1317	137316
19	1391	137715
20	1463	137929
21	1536	138110
22	1609	138353
23	1690	139208
24	1749	138189
25	1822	138384
26	1898	138709
27	1953	137616
28	2029	137907
29	2084	136903
30	2159	137146
31	2234	137397
32	2305	137438
33	2359	136412
34	2433	136603
35	2490	135852
36	2566	136148
37	2645	136577
38	2720	136800
39	2792	136833
40	2850	136180
41	2922	136227
42	2998	136481
43	3074	136678
44	3146	136676
45	3219	136751
46	3292	136833
47	3363	136796
48	3417	136082
49	3495	136315
50	3563	136187
51	3620	135635
52	3698	135874
53	3770	135861
54	3841	135848
55	3914	135883
56	3984	135831
57	4057	135856
58	4127	135800
59	4179	135147
60	4235	134620
61	4314	134867
62	4387	134897
63	4445	134490
64	4538	135101
65	4611	135140
66	4691	135348
67	4751	135007
68	4825	135056
69	4915	135537
70	4998	135801
71	5075	135910
72	5147	135880
73	5222	135920
74	5292	135845
75	5352	135493
76	5430	135625
77	5514	135881
78	5586	135850
79	5660	135858
80	5722	135567
81	5782	135244
82	5841	134912
83	5915	134927
84	5979	134704
85	6061	134897
86	6136	134929
87	6204	134801
88	6277	134797
89	6351	134793
90	6423	134755
91	6500	134810
92	6559	134507
93	6630	134450
94	6704	134438
95	6759	134054
96	6815	133706
97	6892	133775
98	6964	133731
99	7040	133769
100	7098	133461
101	7156	133176
102	7226	133100
103	7286	132841
104	7356	132774
105	7430	132759
106	7490	132525
107	7554	132352
108	7656	132821
109	7735	132912
110	7793	132637
111	7869	132660
112	7930	132426
113	7991	132215
114	8053	132011
115	8117	131834
116	8192	131851
117	8265	131824
118	8324	131578
119	8398	131582
120	8467	131496
121	8540	131470
122	8602	131283
123	8679	131307
124	8761	131422
125	8824	131242
126	8903	131305
127	8975	131270
128	9051	131275
129	9134	131391
130	9196	131205
131	9273	131238
132	9329	130962
133	9394	130828
134	9471	130843
135	9542	130783
136	9619	130811
137	9678	130594
138	9739	130399
139	9816	130415
140	9889	130386
141	9962	130351
142	10047	130474
143	10126	130518
144	10183	130278
145	10266	130375
146	10348	130444
147	10429	130505
148	10486	130277
149	10555	130187
150	10629	130164
151	10729	130454
152	10785	130205
153	10846	130020
154	10920	129984
155	11003	130066
156	11064	129884
157	11124	129691
158	11185	129510
159	11259	129486
160	11338	129515
161	11427	129655
162	11487	129461
163	11565	129480
164	11648	129542
165	11723	129522
166	11799	129513
167	11872	129464
168	11951	129491
169	12006	129243
170	12073	129139
171	12140	129032
172	12217	129022
173	12276	128835
174	12348	128776
175	12448	129012
176	12576	129532
177	12676	129755
178	12756	129769
179	12824	129674
180	12892	129562
181	12976	129619
182	13062	129693
183	13130	129588
184	13218	129683
185	13287	129591
186	13377	129700
187	13457	129710
188	13551	129846
189	13632	129865
190	13724	129986
191	13810	130049
192	13873	129893
193	13934	129722
194	14021	129785
195	14106	129841
196	14188	129856
197	14249	129688
198	14332	129712
199	14404	129644
200	14466	129474
201	14555	129554
202	14615	129375
203	14678	129227
204	14737	129041
205	14793	128830
206	14861	128731
207	14938	128704
208	15008	128611
209	15069	128450
210	15143	128395
211	15219	128359
212	15306	128415
213	15367	128257
214	15424	128055
215	15499	128017
216	15559	127849
217	15625	127726
218	15704	127714
219	15780	127679
220	15862	127689
221	15946	127716
222	16027	127716
223	16088	127560
224	16144	127361
225	16211	127254
226	16282	127175
227	16349	127065
228	16427	127047
229	16510	127061
230	16584	127001
231	16652	126906
232	16732	126890
233	16812	126881
234	16887	126839
235	16959	126766
236	17013	126561
237	17087	126505
238	17164	126468
239	17244	126456
240	17310	126348
241	17366	126157
242	17443	126126
243	17517	126068
244	17596	126047
245	17681	126074
246	17762	126066
247	17827	125943
248	17906	125923
249	17989	125923
250	18051	125784
251	18128	125751
252	18185	125570
253	18257	125500
254	18328	125425
255	18396	125323
256	18478	125320
257	18555	125288
258	18637	125282
259	18731	125359
260	18819	125392
261	18899	125368
262	18969	125284
263	19035	125172
264	19123	125204
265	19193	125119
266	19258	125002
267	19321	124868
268	19402	124851
269	19479	124813
270	19563	124814
271	19639	124768
272	19715	124721
273	19792	124675
274	19852	124531
275	19929	124485
276	20008	124455
277	20083	124403
278	20153	124315
279	20234	124296
280	20313	124269
281	20391	124231
282	20468	124187
283	20536	124089
284	20616	124057
285	20722	124188
286	20780	124032
287	20865	124036
288	20953	124053
289	21028	123994
290	21116	124016
291	21196	123982
292	21300	124093
293	21380	124067
294	21441	123924
295	21509	123823
296	21587	123782
297	21655	123686
298	21730	123622
299	21803	123554
300	21863	123407
301	21942	123372
302	22039	123436
303	22135	123494
304	22228	123531
305	22299	123450
306	22359	123306
307	22448	123322
308	22545	123380
309	22643	123445
310	22726	123426
311	22795	123329
312	22884	123342
313	22983	123408
314	23079	123454
315	23165	123451
316	23278	123590
317	23350	123508
318	23432	123478
319	23516	123462
320	23602	123454
321	23684	123424
322	23747	123293
323	23809	123164
324	23890	123125
325	23951	122991
326	24014	122865
327	24099	122848
328	24184	122835
329	24277	122856
330	24368	122871
331	24445	122815
332	24517	122734
333	24609	122754
334	24712	122824
335	24795	122799
336	24865	122705
