iter	RMSE
0	10.93330779
1	10.89986248
2	10.86599688
3	10.83453951
4	10.80196184
5	10.77039274
6	10.74006964
7	10.71011745
8	10.68317581
9	10.65466039
10	10.62838934
11	10.60172398
12	10.57663695
13	10.55182477
14	10.52915144
15	10.50659101
16	10.48392458
17	10.46085154
18	10.44062716
19	10.41983882
20	10.40051116
21	10.38003451
22	10.3614932
23	10.34205256
24	10.32336719
25	10.30523796
26	10.28905917
27	10.27199634
28	10.25716655
29	10.24056392
30	10.22427828
31	10.20951551
32	10.19491988
33	10.17726991
34	10.15985288
35	10.14627148
36	10.13201264
37	10.11920812
38	10.10598828
39	10.09345444
40	10.08053057
41	10.06802731
42	10.05317213
43	10.03824442
44	10.02436663
45	10.01172625
46	9.999793285
47	9.98618894
48	9.975853097
49	9.964605137
50	9.950202297
51	9.940659894
52	9.928642483
53	9.918224079
54	9.908454908
55	9.898396572
56	9.887648898
57	9.876162605
58	9.865909611
59	9.856227175
60	9.845959585
61	9.837861692
62	9.828046973
63	9.8196543
64	9.809211071
65	9.800142433
66	9.790957874
67	9.783073243
68	9.774129205
69	9.766906534
70	9.758777879
71	9.748368076
72	9.740572538
73	9.732843642
74	9.722623977
75	9.713440016
76	9.704707921
77	9.695283986
78	9.687112307
79	9.679132132
80	9.671030735
81	9.662282966
82	9.654852504
83	9.646670629
84	9.639749714
85	9.632702962
86	9.624897191
87	9.616622194
88	9.609253139
89	9.602180286
90	9.595364611
91	9.587213625
92	9.580350655
93	9.573671871
94	9.566342352
95	9.560064988
96	9.551820298
97	9.54565814
98	9.539735352
99	9.531559236
100	9.525122382
101	9.519727456
102	9.512572074
103	9.505476461
104	9.499790897
105	9.492062081
106	9.486135716
107	9.478515558
108	9.471233994
109	9.463864227
110	9.457231904
111	9.450892214
112	9.445790192
113	9.439052248
114	9.433122752
115	9.427740265
116	9.423021096
117	9.416149859
118	9.409702599
119	9.40347531
120	9.398616507
121	9.395056309
122	9.390119959
123	9.383670717
124	9.377865834
125	9.37363404
126	9.368110799
