iter	Passed	Remaining
0	45	54322
1	81	48766
2	114	45796
3	149	44749
4	181	43387
5	213	42495
6	237	40534
7	273	40803
8	303	40194
9	332	39567
10	366	39585
11	395	39188
12	425	38865
13	487	41317
14	520	41108
15	551	40787
16	584	40697
17	620	40739
18	653	40591
19	681	40231
20	717	40288
21	743	39793
22	771	39460
23	797	39082
24	828	38920
25	864	39031
26	892	38783
27	926	38777
28	971	39213
29	1001	39049
30	1031	38915
31	1059	38658
32	1090	38569
33	1118	38373
34	1143	38066
35	1174	37962
36	1201	37770
37	1234	37744
38	1258	37461
39	1285	37275
40	1318	37280
41	1344	37071
42	1377	37077
43	1408	37017
44	1438	36914
45	1465	36763
46	1504	36901
47	1546	37108
48	1581	37152
49	1612	37080
50	1646	37086
51	1676	37019
52	1705	36913
53	1736	36851
54	1764	36738
55	1798	36738
56	1828	36671
57	1863	36684
58	1901	36766
59	1944	36937
60	1984	37057
61	2020	37092
62	2052	37049
63	2099	37263
64	2135	37293
65	2200	37815
66	2232	37754
67	2271	37811
68	2307	37814
69	2338	37744
70	2379	37836
71	2415	37836
72	2442	37713
73	2473	37633
74	2507	37607
75	2536	37518
76	2562	37367
77	2590	37269
78	2624	37243
79	2653	37149
80	2685	37103
81	2711	36969
82	2741	36893
83	2776	36883
84	2804	36786
85	2836	36738
86	2867	36688
87	2906	36726
88	2957	36918
89	2993	36925
90	3042	37081
91	3079	37092
92	3114	37074
93	3147	37035
94	3178	36965
95	3211	36936
96	3236	36802
97	3265	36720
98	3301	36716
99	3336	36704
100	3370	36676
101	3405	36659
102	3440	36637
103	3472	36597
104	3509	36603
105	3542	36565
106	3573	36508
107	3606	36468
108	3636	36399
109	3669	36365
110	3697	36274
111	3726	36198
112	3760	36177
113	3791	36121
114	3827	36111
115	3869	36161
116	3905	36147
117	3939	36124
118	3968	36051
119	4001	36009
120	4036	35997
121	4077	36031
122	4108	35972
123	4139	35921
124	4170	35869
125	4202	35818
126	4240	35825
127	4273	35786
128	4304	35735
129	4334	35676
130	4358	35568
131	4389	35512
132	4422	35482
133	4447	35381
134	4479	35337
135	4520	35362
136	4555	35348
137	4584	35281
138	4618	35253
139	4654	35241
140	4691	35233
141	4719	35165
142	4753	35138
143	4781	35064
144	4812	35012
145	4845	34981
146	4875	34924
147	4912	34919
148	4947	34900
149	4976	34838
150	5012	34821
151	5073	34978
152	5115	35008
153	5147	34963
154	5180	34926
155	5207	34849
156	5238	34800
157	5275	34793
158	5305	34738
159	5340	34710
160	5374	34684
161	5409	34663
162	5442	34624
163	5478	34609
164	5512	34580
165	5542	34526
166	5573	34473
167	5604	34424
168	5641	34415
169	5679	34412
170	5712	34377
171	5748	34359
172	5781	34319
173	5812	34271
174	5845	34236
175	5872	34164
176	5897	34084
177	5930	34050
178	5964	34020
179	5995	33974
180	6025	33920
181	6059	33892
182	6094	33867
183	6129	33843
184	6160	33799
185	6191	33753
186	6219	33689
187	6247	33628
188	6277	33580
189	6305	33517
190	6335	33468
191	6366	33422
192	6400	33394
193	6426	33325
194	6460	33297
195	6494	33267
196	6527	33235
197	6560	33201
198	6596	33182
199	6632	33164
200	6661	33106
201	6692	33062
202	6729	33052
203	6762	33017
204	6801	33009
205	6831	32963
206	6863	32922
207	6899	32907
208	6933	32874
209	6970	32859
210	7003	32825
211	7039	32805
212	7070	32763
213	7102	32726
214	7134	32685
215	7165	32643
216	7194	32591
217	7236	32596
218	7271	32571
219	7301	32526
220	7333	32486
221	7361	32432
222	7391	32384
223	7423	32344
224	7457	32314
225	7491	32284
226	7531	32281
227	7562	32239
228	7595	32207
229	7634	32197
230	7669	32170
231	7703	32142
232	7734	32100
233	7769	32074
234	7805	32053
235	7844	32044
236	7882	32030
237	7915	31996
238	7944	31943
239	7976	31904
240	8015	31894
241	8054	31883
242	8088	31856
243	8126	31840
244	8164	31824
245	8201	31804
246	8258	31862
247	8291	31827
248	8325	31796
249	8355	31751
250	8386	31710
251	8419	31673
252	8452	31639
253	8478	31578
254	8507	31529
255	8536	31479
256	8573	31459
257	8607	31426
258	8639	31388
259	8672	31354
260	8710	31339
261	8742	31300
262	8773	31258
263	8804	31217
264	8844	31206
265	8877	31172
266	8910	31138
267	8947	31116
268	8982	31087
269	9015	31052
270	9043	31002
271	9074	30961
272	9099	30898
273	9125	30841
274	9163	30822
275	9194	30780
276	9228	30749
277	9259	30710
278	9295	30684
279	9337	30680
280	9369	30644
281	9404	30615
282	9441	30593
283	9475	30562
284	9506	30521
285	9536	30477
286	9568	30438
287	9595	30386
288	9623	30335
289	9654	30295
290	9688	30263
291	9727	30247
292	9754	30196
293	9791	30172
294	9825	30144
295	9856	30103
296	9889	30068
297	9917	30018
298	9956	30002
299	9990	29970
300	10023	29937
301	10059	29910
302	10091	29876
303	10127	29848
304	10159	29812
305	10192	29779
306	10228	29752
307	10264	29726
308	10299	29698
309	10333	29666
310	10364	29626
311	10399	29599
312	10436	29575
313	10503	29637
314	10542	29619
315	10575	29584
316	10609	29553
317	10645	29527
318	10681	29500
319	10712	29458
320	10743	29418
321	10771	29369
322	10806	29341
323	10834	29293
324	10868	29261
325	10903	29233
326	10934	29191
327	10961	29141
328	10989	29093
329	11024	29064
330	11054	29022
331	11084	28979
332	11119	28950
333	11155	28923
334	11183	28875
335	11222	28858
336	11262	28840
337	11295	28806
338	11331	28780
339	11364	28746
340	11392	28699
341	11421	28654
342	11447	28602
343	11484	28577
344	11515	28537
345	11548	28504
346	11580	28467
347	11612	28431
348	11650	28407
349	11689	28388
350	11724	28359
351	11758	28327
352	11788	28284
353	11827	28265
354	11857	28224
355	11892	28194
356	11922	28153
357	11967	28146
358	12029	28180
359	12066	28155
360	12099	28119
361	12135	28092
362	12170	28061
363	12205	28031
364	12234	27988
365	12275	27971
366	12309	27940
367	12343	27906
368	12375	27869
369	12407	27832
370	12437	27791
371	12471	27758
372	12505	27726
373	12538	27691
374	12566	27646
375	12597	27606
376	12628	27568
377	12654	27517
378	12682	27474
379	12715	27437
380	12748	27403
381	12775	27357
382	12806	27317
383	12840	27285
384	12887	27280
385	12928	27262
386	12958	27223
387	12994	27194
388	13027	27161
389	13061	27127
390	13096	27097
391	13130	27064
392	13164	27032
393	13190	26983
394	13219	26940
395	13245	26892
396	13271	26843
397	13303	26808
398	13340	26781
399	13372	26744
400	13400	26700
401	13435	26670
402	13465	26629
403	13506	26611
404	13534	26568
405	13567	26532
406	13602	26503
407	13641	26481
408	13668	26434
409	13697	26393
410	13725	26349
411	13758	26314
412	13791	26280
413	13826	26251
414	13857	26213
415	13892	26181
416	13922	26142
417	13956	26109
418	13992	26081
419	14021	26039
420	14056	26009
421	14087	25971
422	14114	25927
423	14144	25886
424	14175	25849
